board_size,board_number,runtime,dig_density
10 x 10,0,0.114,0.3
10 x 10,1,0.119,0.29
10 x 10,2,0.114,0.31
10 x 10,3,0.108,0.29
10 x 10,4,0.119,0.32
10 x 20,0,0.312,0.315
10 x 20,1,0.339,0.305
10 x 20,2,0.336,0.315
10 x 20,3,0.33,0.275
10 x 20,4,0.296,0.26
15 x 20,0,0.713,0.32666666666666666
15 x 20,1,0.729,0.32666666666666666
15 x 20,2,0.757,0.3433333333333333
15 x 20,3,0.742,0.3333333333333333
15 x 20,4,0.702,0.31333333333333335
20 x 20,0,1.22,0.3125
20 x 20,1,1.139,0.2975
20 x 20,2,1.284,0.32
20 x 20,3,1.403,0.335
20 x 20,4,1.252,0.32
20 x 25,0,2.184,0.336
20 x 25,1,2.281,0.34
20 x 25,2,2.067,0.33
20 x 25,3,2.024,0.326
20 x 25,4,2.03,0.318
20 x 30,0,2.77,0.31166666666666665
20 x 30,1,2.892,0.3333333333333333
20 x 30,2,2.828,0.3283333333333333
20 x 30,3,2.927,0.335
20 x 30,4,2.756,0.31333333333333335
20 x 35,0,3.816,0.3385714285714286
20 x 35,1,3.651,0.32857142857142857
20 x 35,2,3.701,0.3242857142857143
20 x 35,3,3.836,0.34
20 x 35,4,3.88,0.34285714285714286
25 x 32,0,5.216,0.35
25 x 32,1,4.92,0.3275
25 x 32,2,5.159,0.34625
25 x 32,3,4.677,0.31375
25 x 32,4,5.196,0.3475
25 x 40,0,7.433,0.338
25 x 40,1,7.592,0.333
25 x 40,2,7.173,0.313
25 x 40,3,7.942,0.338
25 x 40,4,7.313,0.333
30 x 30,0,6.565,0.3388888888888889
30 x 30,1,7.147,0.36
30 x 30,2,6.222,0.3244444444444444
30 x 30,3,6.209,0.32555555555555554
30 x 30,4,6.542,0.34
