bomb_density,board_number,runtime,dig_density
02,0,0.8,0.225
02,1,0.789,0.21
02,2,0.759,0.2
02,3,0.783,0.205
02,4,0.776,0.21
04,0,0.867,0.2275
04,1,1.002,0.2675
04,2,0.908,0.245
04,3,0.839,0.215
04,4,0.869,0.24
06,0,1.052,0.2825
06,1,0.962,0.26
06,2,1.098,0.295
06,3,1.006,0.265
06,4,0.972,0.2625
08,0,1.216,0.315
08,1,1.041,0.27
08,2,1.138,0.3025
08,3,1.152,0.3025
08,4,1.152,0.3
10,0,1.292,0.345
10,1,1.253,0.3275
10,2,1.271,0.3375
10,3,1.191,0.32
10,4,1.301,0.345
12,0,1.342,0.36
12,1,1.283,0.3375
12,2,1.325,0.355
12,3,1.362,0.3625
12,4,1.373,0.37
14,0,1.491,0.3875
14,1,1.52,0.39
14,2,1.522,0.405
14,3,1.564,0.41
14,4,1.591,0.4125
16,0,1.58,0.4125
16,1,1.825,0.43
16,2,1.641,0.415
16,3,1.616,0.4125
16,4,1.585,0.415
18,0,1.704,0.4325
18,1,1.799,0.455
18,2,1.767,0.4425
18,3,2.242,0.4525
18,4,2.017,0.455
20,0,1.951,0.4575
20,1,1.894,0.485
20,2,1.761,0.465
20,3,1.812,0.4775
20,4,1.916,0.5025
